Lot Number,Product Code,Quantity,Unit,Manufacture Date,Expiry Date,Warehouse,Manufacturing Order,Supplier,Status
SYN-LOT-RM-0001,SYN-RM-0001,292.7,kg,2026-01-16,,WH-RAW,,SYN-SUP-002,released
SYN-LOT-RM-0002,SYN-RM-0001,360.6,kg,2026-04-16,,WH-RAW,,SYN-SUP-002,released
SYN-LOT-RM-0003,SYN-RM-0001,138.4,kg,2026-04-16,,WH-RAW,,SYN-SUP-002,released
SYN-LOT-RM-0004,SYN-RM-0001,96.7,kg,2026-06-18,,WH-RAW,,SYN-SUP-001,released
SYN-LOT-RM-0005,SYN-RM-0001,199.4,kg,2026-06-19,,WH-RAW,,SYN-SUP-001,released
SYN-LOT-RM-0006,SYN-RM-0001,216.6,kg,2026-01-27,,WH-RAW,,SYN-SUP-002,released
SYN-LOT-RM-0007,SYN-RM-0001,110.6,kg,2026-02-12,,WH-RAW,,SYN-SUP-002,released
SYN-LOT-RM-0008,SYN-RM-0001,290.5,kg,2026-01-10,,WH-RAW,,SYN-SUP-003,released
SYN-LOT-RM-0009,SYN-RM-0002,182.1,kg,2026-02-23,,WH-RAW,,SYN-SUP-001,released
SYN-LOT-RM-0010,SYN-RM-0002,139.4,kg,2026-05-20,,WH-RAW,,SYN-SUP-003,released
SYN-LOT-RM-0011,SYN-RM-0002,171.8,kg,2026-02-27,,WH-RAW,,SYN-SUP-001,released
SYN-LOT-RM-0012,SYN-RM-0002,175.7,kg,2026-02-18,,WH-RAW,,SYN-SUP-001,released
SYN-LOT-RM-0013,SYN-RM-0002,278.8,kg,2026-05-15,,WH-RAW,,SYN-SUP-001,released
SYN-LOT-RM-0014,SYN-RM-0002,382.9,kg,2026-02-16,,WH-RAW,,SYN-SUP-003,released
SYN-LOT-RM-0015,SYN-RM-0002,349.0,kg,2026-01-17,,WH-RAW,,SYN-SUP-002,released
SYN-LOT-RM-0016,SYN-RM-0002,207.3,kg,2026-01-20,,WH-RAW,,SYN-SUP-002,released
SYN-LOT-RM-0017,SYN-RM-0003,384.7,kg,2026-01-26,,WH-RAW,,SYN-SUP-002,released
SYN-LOT-RM-0018,SYN-RM-0003,284.0,kg,2026-03-27,,WH-RAW,,SYN-SUP-002,released
SYN-LOT-RM-0019,SYN-RM-0003,193.0,kg,2026-02-18,,WH-RAW,,SYN-SUP-002,released
SYN-LOT-RM-0020,SYN-RM-0003,240.3,kg,2026-05-17,,WH-RAW,,SYN-SUP-002,released
SYN-LOT-RM-0021,SYN-RM-0003,185.2,kg,2026-03-17,,WH-RAW,,SYN-SUP-002,released
SYN-LOT-RM-0022,SYN-RM-0003,221.7,kg,2026-02-22,,WH-RAW,,SYN-SUP-002,released
SYN-LOT-RM-0023,SYN-RM-0003,312.5,kg,2026-04-17,,WH-RAW,,SYN-SUP-001,released
SYN-LOT-RM-0024,SYN-RM-0003,291.6,kg,2026-02-13,,WH-RAW,,SYN-SUP-003,released
SYN-LOT-RM-0025,SYN-RM-0004,232.3,kg,2026-03-17,,WH-RAW,,SYN-SUP-003,released
SYN-LOT-RM-0026,SYN-RM-0004,310.9,kg,2026-05-10,,WH-RAW,,SYN-SUP-003,released
SYN-LOT-RM-0027,SYN-RM-0004,185.0,kg,2026-05-27,,WH-RAW,,SYN-SUP-001,released
SYN-LOT-RM-0028,SYN-RM-0004,256.2,kg,2026-05-28,,WH-RAW,,SYN-SUP-001,released
SYN-LOT-RM-0029,SYN-RM-0004,200.6,kg,2026-02-25,,WH-RAW,,SYN-SUP-003,released
SYN-LOT-RM-0030,SYN-RM-0004,265.0,kg,2026-02-10,,WH-RAW,,SYN-SUP-003,released
SYN-LOT-RM-0031,SYN-RM-0004,76.9,kg,2026-03-20,,WH-RAW,,SYN-SUP-001,released
SYN-LOT-RM-0032,SYN-RM-0004,141.4,kg,2026-04-21,,WH-RAW,,SYN-SUP-002,released
SYN-LOT-FG-0033,SYN-TR-0001,2000,pcs,2026-02-18,,WH-01,SYN-MO-0001,,released
SYN-LOT-FG-0034,SYN-TR-0001,2000,pcs,2026-04-14,,WH-01,SYN-MO-0002,,released
SYN-LOT-FG-0035,SYN-TR-0001,500,pcs,2026-04-12,,WH-02,SYN-MO-0003,,released
SYN-LOT-FG-0036,SYN-TR-0002,2000,pcs,2026-03-24,2031-01-01,WH-02,SYN-MO-0004,,quarantined
SYN-LOT-FG-0037,SYN-TR-0002,2000,pcs,2026-04-20,2031-09-01,WH-01,SYN-MO-0005,,quarantined
SYN-LOT-FG-0038,SYN-TR-0002,1000,pcs,2026-03-22,2031-01-01,WH-03,SYN-MO-0006,,quarantined
SYN-LOT-FG-0039,SYN-TR-0003,1000,pcs,2026-07-11,,WH-03,SYN-MO-0007,,released
SYN-LOT-FG-0040,SYN-TR-0003,1000,pcs,2026-07-15,,WH-03,SYN-MO-0008,,quarantined
SYN-LOT-FG-0041,SYN-TR-0003,1000,pcs,2026-02-12,,WH-01,SYN-MO-0009,,quarantined
SYN-LOT-FG-0042,SYN-TR-0004,2000,pcs,2026-04-27,,WH-03,SYN-MO-0010,,quarantined
SYN-LOT-FG-0043,SYN-TR-0004,500,pcs,2026-06-15,,WH-01,SYN-MO-0011,,released
SYN-LOT-FG-0044,SYN-TR-0004,250,pcs,2026-06-12,,WH-03,SYN-MO-0012,,released
SYN-LOT-FG-0045,SYN-TR-0005,2000,pcs,2026-02-15,,WH-01,SYN-MO-0013,,blocked
SYN-LOT-FG-0046,SYN-TR-0005,250,pcs,2026-06-14,,WH-03,SYN-MO-0014,,quarantined
SYN-LOT-FG-0047,SYN-TR-0005,2000,pcs,2026-07-15,,WH-02,SYN-MO-0015,,blocked
SYN-LOT-FG-0048,SYN-TR-0006,250,pcs,2026-01-21,,WH-02,SYN-MO-0016,,released
SYN-LOT-FG-0049,SYN-TR-0006,500,pcs,2026-04-15,,WH-01,SYN-MO-0017,,released
SYN-LOT-FG-0050,SYN-TR-0006,1000,pcs,2026-04-11,,WH-02,SYN-MO-0018,,released
SYN-LOT-FG-0051,SYN-TR-0007,500,pcs,2026-04-13,,WH-01,SYN-MO-0019,,released
SYN-LOT-FG-0052,SYN-TR-0007,250,pcs,2026-02-27,,WH-02,SYN-MO-0020,,quarantined
SYN-LOT-FG-0053,SYN-TR-0007,500,pcs,2026-01-27,,WH-03,SYN-MO-0021,,released
SYN-LOT-FG-0054,SYN-TR-0008,250,pcs,2026-07-25,,WH-02,SYN-MO-0022,,released
SYN-LOT-FG-0055,SYN-TR-0008,2000,pcs,2026-07-16,,WH-03,SYN-MO-0023,,released
SYN-LOT-FG-0056,SYN-TR-0008,1000,pcs,2026-04-21,,WH-03,SYN-MO-0024,,released
SYN-LOT-FG-0057,SYN-TR-0009,1000,pcs,2026-01-10,2031-06-01,WH-02,SYN-MO-0025,,released
SYN-LOT-FG-0058,SYN-TR-0009,250,pcs,2026-05-14,2031-01-01,WH-01,SYN-MO-0026,,blocked
SYN-LOT-FG-0059,SYN-TR-0009,500,pcs,2026-07-26,2031-04-01,WH-01,SYN-MO-0027,,quarantined
SYN-LOT-FG-0060,SYN-TR-0010,2000,pcs,2026-06-12,2031-05-01,WH-01,SYN-MO-0028,,released
SYN-LOT-FG-0061,SYN-TR-0010,500,pcs,2026-06-12,2031-07-01,WH-02,SYN-MO-0029,,quarantined
SYN-LOT-FG-0062,SYN-TR-0010,250,pcs,2026-05-15,2031-03-01,WH-01,SYN-MO-0030,,quarantined
SYN-LOT-FG-0063,SYN-TR-0011,1000,pcs,2026-05-26,,WH-02,SYN-MO-0031,,released
SYN-LOT-FG-0064,SYN-TR-0011,250,pcs,2026-04-23,,WH-02,SYN-MO-0032,,released
SYN-LOT-FG-0065,SYN-TR-0011,500,pcs,2026-06-15,,WH-01,SYN-MO-0033,,released
SYN-LOT-FG-0066,SYN-TR-0012,1000,pcs,2026-06-11,,WH-03,SYN-MO-0034,,released
SYN-LOT-FG-0067,SYN-TR-0012,1000,pcs,2026-07-11,,WH-03,SYN-MO-0035,,released
SYN-LOT-FG-0068,SYN-TR-0012,1000,pcs,2026-03-13,,WH-01,SYN-MO-0036,,released
SYN-LOT-FG-0069,SYN-SP-0013,2000,pcs,2026-02-19,,WH-01,SYN-MO-0037,,released
SYN-LOT-FG-0070,SYN-SP-0013,250,pcs,2026-05-27,,WH-01,SYN-MO-0038,,blocked
SYN-LOT-FG-0071,SYN-SP-0013,250,pcs,2026-07-22,,WH-03,SYN-MO-0039,,released
SYN-LOT-FG-0072,SYN-SP-0014,250,pcs,2026-07-24,2031-05-01,WH-01,SYN-MO-0040,,released
SYN-LOT-FG-0073,SYN-SP-0014,1000,pcs,2026-04-15,2031-04-01,WH-02,SYN-MO-0041,,quarantined
SYN-LOT-FG-0074,SYN-SP-0014,250,pcs,2026-04-19,2031-08-01,WH-02,SYN-MO-0042,,released
SYN-LOT-FG-0075,SYN-SP-0015,2000,pcs,2026-01-14,,WH-01,SYN-MO-0043,,released
SYN-LOT-FG-0076,SYN-SP-0015,500,pcs,2026-02-25,,WH-03,SYN-MO-0044,,quarantined
SYN-LOT-FG-0077,SYN-SP-0015,500,pcs,2026-01-20,,WH-02,SYN-MO-0045,,released
SYN-LOT-FG-0078,SYN-SP-0016,250,pcs,2026-05-19,,WH-03,SYN-MO-0046,,released
SYN-LOT-FG-0079,SYN-SP-0016,500,pcs,2026-04-22,,WH-01,SYN-MO-0047,,blocked
SYN-LOT-FG-0080,SYN-SP-0016,1000,pcs,2026-01-15,,WH-02,SYN-MO-0048,,quarantined
SYN-LOT-FG-0081,SYN-SP-0017,500,pcs,2026-04-21,,WH-01,SYN-MO-0049,,released
SYN-LOT-FG-0082,SYN-SP-0017,2000,pcs,2026-03-25,,WH-03,SYN-MO-0050,,quarantined
SYN-LOT-FG-0083,SYN-SP-0017,2000,pcs,2026-03-26,,WH-03,SYN-MO-0051,,released
SYN-LOT-FG-0084,SYN-SP-0018,500,pcs,2026-06-23,,WH-03,SYN-MO-0052,,quarantined
SYN-LOT-FG-0085,SYN-SP-0018,500,pcs,2026-02-14,,WH-01,SYN-MO-0053,,blocked
SYN-LOT-FG-0086,SYN-SP-0018,250,pcs,2026-04-19,,WH-02,SYN-MO-0054,,blocked
SYN-LOT-FG-0087,SYN-SP-0019,1000,pcs,2026-07-13,,WH-02,SYN-MO-0055,,released
SYN-LOT-FG-0088,SYN-SP-0019,250,pcs,2026-02-11,,WH-01,SYN-MO-0056,,released
SYN-LOT-FG-0089,SYN-SP-0019,250,pcs,2026-06-27,,WH-02,SYN-MO-0057,,released
SYN-LOT-FG-0090,SYN-SP-0020,250,pcs,2026-05-15,2031-05-01,WH-02,SYN-MO-0058,,released
SYN-LOT-FG-0091,SYN-SP-0020,1000,pcs,2026-05-17,2031-04-01,WH-01,SYN-MO-0059,,quarantined
SYN-LOT-FG-0092,SYN-SP-0020,2000,pcs,2026-07-18,2031-02-01,WH-01,SYN-MO-0060,,released
SYN-LOT-FG-0093,SYN-SP-0021,250,pcs,2026-01-20,2031-01-01,WH-02,SYN-MO-0061,,blocked
SYN-LOT-FG-0094,SYN-SP-0021,250,pcs,2026-06-10,2031-04-01,WH-03,SYN-MO-0062,,released
SYN-LOT-FG-0095,SYN-SP-0021,2000,pcs,2026-02-27,2031-06-01,WH-03,SYN-MO-0063,,released
SYN-LOT-FG-0096,SYN-SP-0022,1000,pcs,2026-03-24,,WH-01,SYN-MO-0064,,blocked
SYN-LOT-FG-0097,SYN-SP-0022,250,pcs,2026-06-20,,WH-01,SYN-MO-0065,,blocked
SYN-LOT-FG-0098,SYN-SP-0022,500,pcs,2026-05-24,,WH-01,SYN-MO-0066,,quarantined
SYN-LOT-FG-0099,SYN-SP-0023,500,pcs,2026-06-27,,WH-03,SYN-MO-0067,,released
SYN-LOT-FG-0100,SYN-SP-0023,2000,pcs,2026-06-24,,WH-01,SYN-MO-0068,,released
SYN-LOT-FG-0101,SYN-SP-0023,500,pcs,2026-03-17,,WH-03,SYN-MO-0069,,released
SYN-LOT-FG-0102,SYN-SP-0024,500,pcs,2026-04-21,,WH-02,SYN-MO-0070,,blocked
SYN-LOT-FG-0103,SYN-SP-0024,500,pcs,2026-01-12,,WH-02,SYN-MO-0071,,released
SYN-LOT-FG-0104,SYN-SP-0024,2000,pcs,2026-03-13,,WH-03,SYN-MO-0072,,released
SYN-LOT-FG-0105,SYN-AR-0025,250,pcs,2026-06-26,,WH-01,SYN-MO-0073,,quarantined
SYN-LOT-FG-0106,SYN-AR-0025,2000,pcs,2026-02-19,,WH-03,SYN-MO-0074,,released
SYN-LOT-FG-0107,SYN-AR-0025,500,pcs,2026-07-15,,WH-01,SYN-MO-0075,,released
SYN-LOT-FG-0108,SYN-AR-0026,250,pcs,2026-02-23,,WH-03,SYN-MO-0076,,quarantined
SYN-LOT-FG-0109,SYN-AR-0026,2000,pcs,2026-03-12,,WH-01,SYN-MO-0077,,released
SYN-LOT-FG-0110,SYN-AR-0026,500,pcs,2026-02-17,,WH-01,SYN-MO-0078,,quarantined
SYN-LOT-FG-0111,SYN-AR-0027,2000,pcs,2026-01-14,,WH-02,SYN-MO-0079,,released
SYN-LOT-FG-0112,SYN-AR-0027,500,pcs,2026-02-16,,WH-02,SYN-MO-0080,,released
SYN-LOT-FG-0113,SYN-AR-0027,1000,pcs,2026-07-14,,WH-02,SYN-MO-0081,,released
SYN-LOT-FG-0114,SYN-AR-0028,500,pcs,2026-03-28,2031-04-01,WH-03,SYN-MO-0082,,quarantined
SYN-LOT-FG-0115,SYN-AR-0028,500,pcs,2026-03-26,2031-09-01,WH-02,SYN-MO-0083,,blocked
SYN-LOT-FG-0116,SYN-AR-0028,2000,pcs,2026-04-26,2031-02-01,WH-03,SYN-MO-0084,,quarantined
SYN-LOT-FG-0117,SYN-AR-0029,250,pcs,2026-02-19,,WH-03,SYN-MO-0085,,released
SYN-LOT-FG-0118,SYN-AR-0029,250,pcs,2026-02-26,,WH-02,SYN-MO-0086,,blocked
SYN-LOT-FG-0119,SYN-AR-0029,1000,pcs,2026-02-26,,WH-01,SYN-MO-0087,,blocked
SYN-LOT-FG-0120,SYN-AR-0030,500,pcs,2026-02-23,2031-01-01,WH-02,SYN-MO-0088,,released
SYN-LOT-FG-0121,SYN-AR-0030,500,pcs,2026-01-26,2031-08-01,WH-03,SYN-MO-0089,,released
SYN-LOT-FG-0122,SYN-AR-0030,500,pcs,2026-03-28,2031-09-01,WH-02,SYN-MO-0090,,quarantined
SYN-LOT-FG-0123,SYN-AR-0031,500,pcs,2026-05-27,,WH-01,SYN-MO-0091,,blocked
SYN-LOT-FG-0124,SYN-AR-0031,1000,pcs,2026-04-26,,WH-02,SYN-MO-0092,,blocked
SYN-LOT-FG-0125,SYN-AR-0031,500,pcs,2026-01-17,,WH-02,SYN-MO-0093,,released
