Shipment,Lot Number,Quantity,Customer,Sales Order,Shipped Date
SYN-SH-3001,SYN-LOT-FG-0033,500,SYN-CUST-019,SYN-ORD-0252,2026-07-24
SYN-SH-3002,SYN-LOT-FG-0034,500,SYN-CUST-001,SYN-ORD-0157,2026-08-01
SYN-SH-3003,SYN-LOT-FG-0035,125,SYN-CUST-025,SYN-ORD-0282,2026-07-11
SYN-SH-3004,SYN-LOT-FG-0039,250,SYN-CUST-008,SYN-ORD-0012,2026-08-18
SYN-SH-3005,SYN-LOT-FG-0043,125,SYN-CUST-019,SYN-ORD-0078,2026-07-23
SYN-SH-3006,SYN-LOT-FG-0044,62,SYN-CUST-023,SYN-ORD-0206,2026-08-11
SYN-SH-3007,SYN-LOT-FG-0048,62,SYN-CUST-004,SYN-ORD-0088,2026-07-19
SYN-SH-3008,SYN-LOT-FG-0049,125,SYN-CUST-006,SYN-ORD-0230,2026-07-06
SYN-SH-3009,SYN-LOT-FG-0050,250,SYN-CUST-021,SYN-ORD-0206,2026-08-24
SYN-SH-3010,SYN-LOT-FG-0051,125,SYN-CUST-020,SYN-ORD-0023,2026-07-17
SYN-SH-3011,SYN-LOT-FG-0053,125,SYN-CUST-015,SYN-ORD-0170,2026-08-03
SYN-SH-3012,SYN-LOT-FG-0054,62,SYN-CUST-021,SYN-ORD-0233,2026-06-14
SYN-SH-3013,SYN-LOT-FG-0055,500,SYN-CUST-007,SYN-ORD-0160,2026-06-27
SYN-SH-3014,SYN-LOT-FG-0056,250,SYN-CUST-018,SYN-ORD-0193,2026-07-11
SYN-SH-3015,SYN-LOT-FG-0057,250,SYN-CUST-014,SYN-ORD-0017,2026-08-13
SYN-SH-3016,SYN-LOT-FG-0060,500,SYN-CUST-002,SYN-ORD-0020,2026-08-10
SYN-SH-3017,SYN-LOT-FG-0063,250,SYN-CUST-004,SYN-ORD-0243,2026-08-23
SYN-SH-3018,SYN-LOT-FG-0064,62,SYN-CUST-022,SYN-ORD-0120,2026-08-10
SYN-SH-3019,SYN-LOT-FG-0065,125,SYN-CUST-014,SYN-ORD-0068,2026-06-17
SYN-SH-3020,SYN-LOT-FG-0066,250,SYN-CUST-009,SYN-ORD-0070,2026-08-17
SYN-SH-3021,SYN-LOT-FG-0067,250,SYN-CUST-004,SYN-ORD-0292,2026-07-27
SYN-SH-3022,SYN-LOT-FG-0068,250,SYN-CUST-025,SYN-ORD-0021,2026-07-11
SYN-SH-3023,SYN-LOT-FG-0069,500,SYN-CUST-019,SYN-ORD-0165,2026-06-20
SYN-SH-3024,SYN-LOT-FG-0071,62,SYN-CUST-011,SYN-ORD-0253,2026-08-11
SYN-SH-3025,SYN-LOT-FG-0072,62,SYN-CUST-016,SYN-ORD-0035,2026-07-11
SYN-SH-3026,SYN-LOT-FG-0074,62,SYN-CUST-006,SYN-ORD-0112,2026-06-21
SYN-SH-3027,SYN-LOT-FG-0075,500,SYN-CUST-017,SYN-ORD-0008,2026-07-24
SYN-SH-3028,SYN-LOT-FG-0077,125,SYN-CUST-005,SYN-ORD-0213,2026-06-01
SYN-SH-3029,SYN-LOT-FG-0078,62,SYN-CUST-014,SYN-ORD-0044,2026-08-06
