Product Code,Product Name,Family,Category,Anatomical Category,Material,Size,Dimensions,Sterility,Packaging,UDI
SYN-TR-0001,SYNTHETIC Cortical Screw 3.5 x 20 mm,trauma,implant,foot,cobalt_chrome,3.5 x 20 mm,3.5 × 20 mm,non_sterile,Bulk pack,
SYN-TR-0002,SYNTHETIC Cortical Screw 4.0 x 30 mm,trauma,implant,hand,stainless_steel_316l,4.0 x 30 mm,4.0 × 30 mm,sterile,Bulk pack,
SYN-TR-0003,SYNTHETIC Cortical Screw 4.5 x 40 mm,trauma,implant,pelvis,stainless_steel_316l,4.5 x 40 mm,4.5 × 40 mm,non_sterile,Bulk pack,
SYN-TR-0004,SYNTHETIC Locking Plate 3.5 x 20 mm,trauma,implant,foot,stainless_steel_316l,3.5 x 20 mm,3.5 × 20 mm,sterilizable,Instrument tray,
SYN-TR-0005,SYNTHETIC Locking Plate 4.0 x 30 mm,trauma,implant,lower_extremity,cobalt_chrome,4.0 x 30 mm,4.0 × 30 mm,non_sterile,Bulk pack,
SYN-TR-0006,SYNTHETIC Locking Plate 4.5 x 40 mm,trauma,implant,pelvis,stainless_steel_316l,4.5 x 40 mm,4.5 × 40 mm,sterilizable,Single sterile blister,
SYN-TR-0007,SYNTHETIC Cannulated Screw 3.5 x 20 mm,trauma,implant,pelvis,peek,3.5 x 20 mm,3.5 × 20 mm,sterilizable,Bulk pack,
SYN-TR-0008,SYNTHETIC Cannulated Screw 4.0 x 30 mm,trauma,implant,craniomaxillofacial,titanium_alloy,4.0 x 30 mm,4.0 × 30 mm,non_sterile,Bulk pack,
SYN-TR-0009,SYNTHETIC Cannulated Screw 4.5 x 40 mm,trauma,implant,lower_extremity,commercially_pure_titanium,4.5 x 40 mm,4.5 × 40 mm,sterile,Bulk pack,
SYN-TR-0010,SYNTHETIC Intramedullary Nail 3.5 x 20 mm,trauma,implant,lower_extremity,cobalt_chrome,3.5 x 20 mm,3.5 × 20 mm,sterile,Bulk pack,
SYN-TR-0011,SYNTHETIC Intramedullary Nail 4.0 x 30 mm,trauma,implant,hand,uhmwpe,4.0 x 30 mm,4.0 × 30 mm,non_sterile,Single sterile blister,
SYN-TR-0012,SYNTHETIC Intramedullary Nail 4.5 x 40 mm,trauma,implant,pelvis,cobalt_chrome,4.5 x 40 mm,4.5 × 40 mm,non_sterile,Instrument tray,
SYN-SP-0013,SYNTHETIC Pedicle Screw 3.5 x 20 mm,spine,implant,hand,stainless_steel_316l,3.5 x 20 mm,3.5 × 20 mm,non_sterile,Single sterile blister,
SYN-SP-0014,SYNTHETIC Pedicle Screw 4.0 x 30 mm,spine,implant,foot,commercially_pure_titanium,4.0 x 30 mm,4.0 × 30 mm,sterile,Bulk pack,
SYN-SP-0015,SYNTHETIC Pedicle Screw 4.5 x 40 mm,spine,implant,upper_extremity,commercially_pure_titanium,4.5 x 40 mm,4.5 × 40 mm,non_sterile,Single sterile blister,
SYN-SP-0016,SYNTHETIC Spinal Rod 3.5 x 20 mm,spine,component,upper_extremity,commercially_pure_titanium,3.5 x 20 mm,3.5 × 20 mm,sterilizable,Bulk pack,
SYN-SP-0017,SYNTHETIC Spinal Rod 4.0 x 30 mm,spine,component,hand,cobalt_chrome,4.0 x 30 mm,4.0 × 30 mm,non_sterile,Bulk pack,
SYN-SP-0018,SYNTHETIC Spinal Rod 4.5 x 40 mm,spine,component,hand,peek,4.5 x 40 mm,4.5 × 40 mm,sterilizable,Bulk pack,
SYN-SP-0019,SYNTHETIC Interbody Cage 3.5 x 20 mm,spine,implant,spine,commercially_pure_titanium,3.5 x 20 mm,3.5 × 20 mm,non_sterile,Single sterile blister,
SYN-SP-0020,SYNTHETIC Interbody Cage 4.0 x 30 mm,spine,implant,foot,stainless_steel_316l,4.0 x 30 mm,4.0 × 30 mm,sterile,Instrument tray,
SYN-SP-0021,SYNTHETIC Interbody Cage 4.5 x 40 mm,spine,implant,upper_extremity,peek,4.5 x 40 mm,4.5 × 40 mm,sterile,Single sterile blister,
SYN-SP-0022,SYNTHETIC Cross Connector 3.5 x 20 mm,spine,implant,upper_extremity,commercially_pure_titanium,3.5 x 20 mm,3.5 × 20 mm,non_sterile,Bulk pack,
SYN-SP-0023,SYNTHETIC Cross Connector 4.0 x 30 mm,spine,implant,upper_extremity,commercially_pure_titanium,4.0 x 30 mm,4.0 × 30 mm,sterilizable,Bulk pack,
SYN-SP-0024,SYNTHETIC Cross Connector 4.5 x 40 mm,spine,implant,craniomaxillofacial,stainless_steel_316l,4.5 x 40 mm,4.5 × 40 mm,non_sterile,Single sterile blister,
SYN-AR-0025,SYNTHETIC Suture Anchor 3.5 x 20 mm,arthroscopy,implant,foot,commercially_pure_titanium,3.5 x 20 mm,3.5 × 20 mm,non_sterile,Single sterile blister,
SYN-AR-0026,SYNTHETIC Suture Anchor 4.0 x 30 mm,arthroscopy,implant,craniomaxillofacial,uhmwpe,4.0 x 30 mm,4.0 × 30 mm,sterilizable,Single sterile blister,
SYN-AR-0027,SYNTHETIC Suture Anchor 4.5 x 40 mm,arthroscopy,implant,upper_extremity,peek,4.5 x 40 mm,4.5 × 40 mm,non_sterile,Single sterile blister,
SYN-AR-0028,SYNTHETIC Interference Screw 3.5 x 20 mm,arthroscopy,implant,lower_extremity,peek,3.5 x 20 mm,3.5 × 20 mm,sterile,Single sterile blister,
SYN-AR-0029,SYNTHETIC Interference Screw 4.0 x 30 mm,arthroscopy,implant,upper_extremity,commercially_pure_titanium,4.0 x 30 mm,4.0 × 30 mm,non_sterile,Instrument tray,
SYN-AR-0030,SYNTHETIC Interference Screw 4.5 x 40 mm,arthroscopy,implant,foot,stainless_steel_316l,4.5 x 40 mm,4.5 × 40 mm,sterile,Instrument tray,
SYN-AR-0031,SYNTHETIC Meniscal Repair Device 3.5 x 20 mm,arthroscopy,implant,lower_extremity,uhmwpe,3.5 x 20 mm,3.5 × 20 mm,sterilizable,Instrument tray,
SYN-AR-0032,SYNTHETIC Meniscal Repair Device 4.0 x 30 mm,arthroscopy,implant,pelvis,commercially_pure_titanium,4.0 x 30 mm,4.0 × 30 mm,sterilizable,Bulk pack,
SYN-AR-0033,SYNTHETIC Meniscal Repair Device 4.5 x 40 mm,arthroscopy,implant,lower_extremity,stainless_steel_316l,4.5 x 40 mm,4.5 × 40 mm,sterile,Instrument tray,
SYN-MA-0034,SYNTHETIC Mandible Plate 3.5 x 20 mm,maxillofacial,implant,spine,cobalt_chrome,3.5 x 20 mm,3.5 × 20 mm,non_sterile,Bulk pack,
SYN-MA-0035,SYNTHETIC Mandible Plate 4.0 x 30 mm,maxillofacial,implant,pelvis,uhmwpe,4.0 x 30 mm,4.0 × 30 mm,non_sterile,Instrument tray,
SYN-MA-0036,SYNTHETIC Mandible Plate 4.5 x 40 mm,maxillofacial,implant,pelvis,peek,4.5 x 40 mm,4.5 × 40 mm,sterile,Single sterile blister,
SYN-MA-0037,SYNTHETIC Orbital Mesh 3.5 x 20 mm,maxillofacial,implant,foot,cobalt_chrome,3.5 x 20 mm,3.5 × 20 mm,sterilizable,Single sterile blister,
SYN-MA-0038,SYNTHETIC Orbital Mesh 4.0 x 30 mm,maxillofacial,implant,pelvis,uhmwpe,4.0 x 30 mm,4.0 × 30 mm,non_sterile,Instrument tray,
SYN-MA-0039,SYNTHETIC Orbital Mesh 4.5 x 40 mm,maxillofacial,implant,foot,titanium_alloy,4.5 x 40 mm,4.5 × 40 mm,sterile,Bulk pack,
SYN-MA-0040,SYNTHETIC CMF Screw 3.5 x 20 mm,maxillofacial,implant,upper_extremity,titanium_alloy,3.5 x 20 mm,3.5 × 20 mm,sterile,Bulk pack,
SYN-MA-0041,SYNTHETIC CMF Screw 4.0 x 30 mm,maxillofacial,implant,lower_extremity,peek,4.0 x 30 mm,4.0 × 30 mm,non_sterile,Single sterile blister,
SYN-MA-0042,SYNTHETIC CMF Screw 4.5 x 40 mm,maxillofacial,implant,lower_extremity,stainless_steel_316l,4.5 x 40 mm,4.5 × 40 mm,sterile,Single sterile blister,
SYN-HA-0043,SYNTHETIC Hand Plate 3.5 x 20 mm,hand_and_foot,implant,foot,cobalt_chrome,3.5 x 20 mm,3.5 × 20 mm,sterilizable,Instrument tray,
SYN-HA-0044,SYNTHETIC Hand Plate 4.0 x 30 mm,hand_and_foot,implant,lower_extremity,commercially_pure_titanium,4.0 x 30 mm,4.0 × 30 mm,sterile,Single sterile blister,
SYN-HA-0045,SYNTHETIC Hand Plate 4.5 x 40 mm,hand_and_foot,implant,spine,stainless_steel_316l,4.5 x 40 mm,4.5 × 40 mm,non_sterile,Bulk pack,
SYN-HA-0046,SYNTHETIC Compression Screw 3.5 x 20 mm,hand_and_foot,implant,hand,titanium_alloy,3.5 x 20 mm,3.5 × 20 mm,sterile,Bulk pack,
SYN-HA-0047,SYNTHETIC Compression Screw 4.0 x 30 mm,hand_and_foot,implant,lower_extremity,titanium_alloy,4.0 x 30 mm,4.0 × 30 mm,non_sterile,Single sterile blister,
